City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
rikitea,0,PF,1567823127,62,-23.12,-134.97,65.33,31.72
ushuaia,0,AR,1567823129,69,-54.81,-68.31,35.6,4.7
hobart,75,AU,1567823017,76,-42.88,147.33,50.0,17.22
marsabit,66,KE,1567823570,55,2.34,37.99,74.85,25.37
acapulco,75,MX,1567823210,74,16.86,-99.88,84.2,4.7
clyde river,32,NZ,1567823196,54,-45.19,169.32,55.99,1.99
hermanus,0,ZA,1567823140,75,-34.42,19.24,66.99,13.0
mys shmidta,63,RU,1567823189,95,62.06,48.62,51.34,4.72
barrow,100,AR,1567823156,91,-38.31,-60.23,45.0,9.44
port alfred,87,CD,1567823129,43,-7.04,29.76,64.95,3.2
yellowknife,75,CA,1567823160,71,62.45,-114.38,50.0,9.17
alofi,75,NU,1567823160,65,-19.06,-169.92,77.0,16.11
hohhot,0,CN,1567823572,33,40.81,111.65,77.0,4.47
busselton,52,AU,1567823130,50,-33.64,115.35,64.0,1.86
bluff,0,AU,1567823132,21,-23.58,149.07,78.52,3.71
cape town,80,CL,1567823126,100,-36.41,-71.9,55.0,3.36
lyuban,76,BY,1567823444,91,52.8,28.0,54.18,5.59
rio gallegos,1,US,1567823002,87,41.11,-90.4,66.99,4.7
ostrovnoy,0,RU,1567823191,81,68.05,39.51,45.71,21.63
nuuk,98,GL,1567823574,93,64.17,-51.74,42.8,5.21
khatanga,77,RU,1567823138,82,71.98,102.47,48.3,10.38
mataura,64,NZ,1567823131,69,-46.19,168.86,50.0,10.0
saint-pierre,75,FR,1567823574,87,48.95,4.24,55.4,3.36
leningradskiy,32,RU,1567823134,79,69.38,178.42,44.93,5.7
ulaanbaatar,40,MN,1567823562,61,47.92,106.92,48.2,8.95
cherskiy,93,RU,1567823133,57,68.75,161.3,43.4,7.99
hambantota,40,LK,1567823575,94,6.12,81.12,82.4,13.87
segezha,89,RU,1567823575,93,63.74,34.31,45.9,5.93
